index	Dataset	frame	Fp	n. pats	high risk 	low risk	B=200 F=3.0	n.a.	OR	OR 95% CI	P-val	kappa	AUC	AUC-pval	PPV	NPV	Sen	Spec	source	
48	MSKCC	2-3	Fp_0	110	23	87		1.7	15.4	[4.05,     58.71]	0.0001	0.4	0.68	0.003	0.69	0.85	0.38	0.95	Run 2022-06-24	
49	MSKCC	3-4	Fp_0	93	29	64		3.77	13.11	[2.71,     63.26]	0.0007	0.32	0.7	0.0006	0.79	0.75	0.3	0.96	Run 2022-06-24	
46	GSE70769	2-3	Fp_0	39	26	13		10.1	12	[1.68,     85.70]	0.02	0.42	0.77	0.007	0.82	0.64	0.89	0.5	Run 2022-06-24	
40	GSE46602	2-3	Fp_0	30	14	16		1.2	9.2	[1.38,     62.36]	0.06	0.33	0.72	0.01	0.77	0.65	0.44	0.89	Run 2022-06-24	
42	GSE53922	2-3	Fp_0	89	63	26		14.32	8.33	[1.65,     41.90]	0.01	0.26	0.64	0.02	0.76	0.7	0.95	0.26	Run 2022-06-24	
																				
																				
																				
81	GSE46602	3-4	Fp_14	30	17	13		5.06	9	[1.50,     53.96]	0.03	0.43	0.78	0.005	0.78	0.64	0.68	0.76	Run 2022-06-24	
83	GSE53922	3-4	Fp_14	90	74	16		26.08	20	[3.68,   108.53]	0.003	0.43	0.82	0.0001	0.89	0.6	0.94	0.43	Run 2022-06-24	
																				
																				
58	MSKCC	2-3	Fp_1	110	23	87		3.9	8.66	[2.64,     28.40]	0.0007	0.37	0.69	9.70E-005	0.59	0.85	0.4	0.92	Run 2022-06-24	
50	GSE46602	2-3	Fp_1	30	14	16		4.05	30	[4.22,   213.15]	0.002	0.59	0.86	0.0003	0.74	0.84	0.83	0.76	Run 2022-06-24	
51	GSE46602	3-4	Fp_1	30	17	13		1.69	40	[4.48,   356.46]	0.0005	0.65	0.83	0.0009	0.82	0.86	0.93	0.71	Run 2022-06-24	
																				
																				
																				
60	GSE46602	2-3	Fp_12	30	14	16		3.7	25	[3.76,   166.22]	0.003	0.59	0.86	0.0006	0.79	0.8	0.79	0.79	Run 2022-06-24	
111	GSE84042	2-3	Fp_12	65	8	57		7.3	18.33	[1.38,   242.77]	0.12	0.37	0.88	0.002	0.59	0.93	0.31	0.97	Run 2022-07-08	
																				
																				
78	MSKCC	2-3	Fp_30	110	23	87		2.36	13.83	[1.82,   105.08]	0.02	0.18	0.61	0.04	0.69	0.81	0.14	0.98	Run 2022-06-24	
75	GSE54460	3-4	Fp_30	31	28	3		1.47	20	[0.99,    401.64]	0.16	0.48	0.79	0.05	0.94	0.53	0.94	0.54	Run 2022-06-24	
70	GSE46602	2-3	Fp_30	30	14	16		5.3	13.5	[2.21,    82.28]	0.01	0.47	0.82	0.002	0.76	0.7	0.7	0.77	Run 2022-06-24	
72	GSE53922	2-3	Fp_30	89	63	26		7.66	12	[1.75,     82.08]	0.004	0.21	0.7	0.001	0.94	0.4	0.34	0.95	Run 2022-06-24	
																				
																				
																				
																				
																				
96	MSKCC	2-3	Fp_20	110	23	87		4.6	8.5	[2.43,      29.77]	0.001	0.34	0.67	0.006	0.57	0.85	0.35	0.93	Run 2022-07-06	
97	MSKCC	3-4	Fp_20	93	29	64		2.2	22.47	[3.58,      140.98]	0.0006	0.32	0.7	0.001	0.84	0.76	0.28	0.97	Run 2022-07-06	
99	GSE46602	3-4	Fp_20	30	17	13		0.5	30	[4.53,      198.56]	0.001	0.55	0.83	0.001	0.77	0.8	0.88	0.65	Run 2022-07-06	
100	GSE53922	2-3	Fp_20	89	63	26		40	16	[3.16,        80.95]	0.002	0.43	0.79	0.0007	0.82	0.67	0.91	0.47	Run 2022-07-06	
131	GSE37199	HR-LR	Fp_20	107	68	39		28.2	10.88	[2.26,        52.33]	0.001	0.33	0.69	0.001	0.73	0.8	0.95	0.32	Run 2022-07-21	
																				
109	GSE84042	4-5	Fp_37	145	31	114		20.4	19.9	[4.03,        98.86]	0.000017	0.46	0.87	1.90E-006	0.47	0.95	0.86	0.74	Run 2022-07-09	Factor F=4.0
